"","monthly.returns"
"1",-0.0606623617615045
"2",-0.105436597124171
"3",-0.479189666961469
"4",0.318953264901245
"5",0.117426304496096
"6",0.0719769668434351
"7",0.0161146198698598
"8",-0.016740134596631
"9",-0.114247279208156
"10",-0.0389479231125305
"11",0.344736801950555
"12",0.12915856136788
"13",-0.0526863236625801
"14",-0.18953532087948
"15",0.0808126838083492
"16",-0.0350877248892658
"17",0.153679618114131
"18",0.136585416476558
"19",-0.0921096345724152
"20",0.0152727300470525
"21",0.00823780593151269
"22",-0.0170514937385775
"23",0.0892663283897366
"24",0.0185800061257912
"25",0.148859921213456
"26",0.0311879347843604
"27",-0.0310694882211647
"28",-0.0510784042572192
"29",-0.00538278446674378
"30",-0.0817798419504092
"31",0.210216043761846
"32",0.00568179355179899
"33",-0.110034881338997
"34",0.00544124789949496
"35",-0.0862898098833237
"36",-0.0773280197867183
"37",0.050641873130574
"38",-0.0241004448926433
"39",-0.0786087036132812
"40",0.00679502856666825
"41",0.0952380577770013
"42",0.133173553973724
"43",0.0516617213897115
"44",-0.00775640468577621
"45",0.0969889515149118
"46",-0.0013195892812341
"47",-0.00369977243879216
"48",0.0339522215754213
"49",0.0815803063755844
"50",-0.0222959826876442
"51",-0.071324656825328
"52",0.156217338895803
"53",-0.0804337481608478
"54",-0.00786240021684725
"55",0.00544817732012337
"56",-0.0305418204525284
