"","Member_number","Date","itemDescription"
"1",1808,2015-07-21,"tropical fruit"
"2",2552,2015-01-05,"whole milk"
"3",2300,2015-09-19,"pip fruit"
"4",1187,2015-12-12,"beer"
"5",3037,2015-02-01,"whole milk"
"6",4941,2015-02-14,"rolls/buns"
"7",4501,2015-05-08,"beer"
"8",3803,2015-12-23,"pot plants"
"9",2762,2015-03-20,"whole milk"
"10",4119,2015-02-12,"tropical fruit"
"11",1340,2015-02-24,"citrus fruit"
"12",2193,2015-04-14,"beef"
"13",1997,2015-07-21,"frankfurter"
"14",4546,2015-09-03,"chicken"
"15",4736,2015-07-21,"butter"
"16",1959,2015-03-30,"fruit/vegetable juice"
"17",1974,2015-05-03,"packaged fruit/vegetables"
"18",2421,2015-09-02,"chocolate"
"19",1513,2015-08-03,"specialty bar"
"20",1905,2015-07-07,"beer"
"21",2810,2015-09-08,"butter milk"
"22",2867,2015-11-12,"whole milk"
"23",3962,2015-09-18,"tropical fruit"
"24",1088,2015-11-30,"tropical fruit"
"25",4976,2015-07-17,"bottled water"
"26",4056,2015-06-12,"yogurt"
"27",3611,2015-02-13,"cereal"
"28",1420,2015-01-14,"beer"
"29",4286,2015-03-08,"brown bread"
"30",4918,2015-01-27,"yogurt"
"31",4783,2015-10-22,"hamburger meat"
"32",3709,2015-10-26,"root vegetables"
"33",4289,2015-10-08,"pork"
"34",1559,2015-10-03,"beef"
"35",2900,2015-04-11,"pastry"
"36",1905,2015-02-21,"fruit/vegetable juice"
"37",3527,2015-09-29,"canned beer"
"38",1495,2015-01-09,"root vegetables"
"39",3558,2015-04-03,"citrus fruit"
"40",3128,2015-04-20,"cereal"
"41",1863,2015-08-04,"tropical fruit"
"42",3841,2015-07-19,"berries"
"43",3903,2015-10-06,"canned beer"
"44",2658,2015-10-16,"butter milk"
"45",4272,2015-06-06,"coffee"
"46",1120,2015-09-26,"pastry"
"47",2676,2015-08-15,"rolls/buns"
"48",1697,2015-05-21,"misc. beverages"
"49",2507,2015-08-25,"root vegetables"
"50",4620,2015-03-11,"cereal"
"51",3365,2015-02-01,"canned beer"
"52",2978,2015-06-05,"ham"
"53",2910,2015-07-28,"turkey"
"54",1061,2015-09-05,"whole milk"
"55",3276,2015-04-03,"whole milk"
"56",1326,2015-06-19,"packaged fruit/vegetables"
"57",3023,2015-07-28,"rolls/buns"
"58",2185,2015-10-11,"ham"
"59",3552,2015-06-16,"rolls/buns"
"60",1967,2015-01-20,"beer"
"61",4708,2015-03-20,"cereal"
"62",2874,2015-02-15,"cereal"
"63",4177,2015-04-13,"frankfurter"
"64",1663,2015-02-07,"rolls/buns"
"65",2632,2015-03-02,"whole milk"
"66",1377,2015-03-14,"curd cheese"
"67",4162,2015-12-22,"red/blush wine"
"68",2270,2015-07-01,"cereal"
"69",4829,2015-11-03,"tropical fruit"
"70",3811,2015-04-14,"red/blush wine"
"71",4766,2015-09-29,"whole milk"
"72",2436,2015-04-12,"frankfurter"
"73",3860,2015-05-05,"whole milk"
"74",4875,2015-05-12,"frozen potato products"
"75",1587,2015-07-01,"beer"
"76",4038,2015-07-08,"citrus fruit"
"77",4750,2015-09-21,"flour"
"78",1199,2015-12-10,"sugar"
"79",1603,2015-09-30,"frozen meals"
"80",3111,2015-01-31,"chocolate"
"81",3894,2015-12-13,"root vegetables"
"82",1456,2015-09-18,"root vegetables"
"83",2022,2015-03-04,"herbs"
"84",2505,2015-11-30,"bottled water"
"85",4851,2015-12-20,"cereal"
"86",4293,2015-08-04,"coffee"
"87",2775,2015-11-06,"pork"
"88",3693,2015-02-18,"berries"
"89",1202,2015-07-22,"soda"
"90",3699,2015-08-23,"berries"
"91",4152,2015-04-15,"fruit/vegetable juice"
"92",4155,2015-01-26,"citrus fruit"
"93",4010,2015-12-29,"pork"
"94",4389,2015-10-20,"detergent"
"95",3746,2015-08-17,"grapes"
"96",2560,2015-05-17,"cereal"
"97",1503,2015-07-25,"chicken"
"98",2555,2015-12-23,"whole milk"
"99",3645,2015-12-12,"citrus fruit"
"100",3886,2015-09-11,"soda"
"101",2932,2015-03-20,"cereal"
"102",1711,2015-06-18,"frankfurter"
"103",4291,2015-12-08,"cereal"
"104",1143,2015-04-25,"soda"
"105",4564,2015-07-08,"rolls/buns"
"106",3337,2015-05-14,"beef"
"107",4931,2015-05-04,"whole milk"
"108",2623,2015-10-10,"processed cheese"
"109",4581,2015-04-03,"tropical fruit"
"110",2635,2015-06-11,"frankfurter"
"111",1095,2015-10-30,"packaged fruit/vegetables"
"112",2990,2015-05-23,"whole milk"
"113",2426,2015-06-05,"berries"
"114",4555,2015-11-07,"citrus fruit"
"115",3635,2015-09-04,"tropical fruit"
"116",3058,2015-05-18,"hamburger meat"
"117",4391,2015-03-26,"hamburger meat"
"118",1306,2015-06-23,"whole milk"
"119",1024,2015-08-10,"fish"
"120",1295,2015-07-23,"frankfurter"
"121",1661,2015-06-01,"packaged fruit/vegetables"
"122",4591,2015-05-15,"pastry"
"123",3169,2015-06-14,"beer"
"124",3915,2015-05-21,"misc. beverages"
"125",1127,2015-01-14,"frankfurter"
"126",4828,2015-08-08,"sparkling wine"
"127",3683,2015-06-10,"specialty bar"
"128",1971,2015-09-18,"cereal"
"129",3014,2015-11-11,"curd cheese"
"130",3779,2015-09-15,"frankfurter"
"131",2489,2015-05-04,"whole milk"
"132",3564,2015-06-27,"newspapers"
"133",4092,2015-09-30,"berries"
"134",3221,2015-01-13,"curd"
"135",1279,2015-09-06,"tropical fruit"
"136",2581,2015-08-22,"soda"
"137",2295,2015-02-25,"rolls/buns"
"138",4760,2015-02-22,"canned beer"
"139",3649,2015-01-16,"canned beer"
"140",1075,2015-11-19,"frankfurter"
"141",3987,2015-08-19,"beer"
"142",4106,2015-08-25,"whole milk"
"143",4338,2015-06-24,"whole milk"
"144",4166,2015-11-06,"citrus fruit"
"145",1211,2015-03-10,"frankfurter"
"146",3954,2015-01-21,"frankfurter"
"147",3928,2015-07-18,"butter milk"
"148",3827,2015-09-30,"hamburger meat"
"149",4699,2015-02-08,"pasta"
"150",4747,2015-06-08,"beer"
"151",3028,2015-06-09,"cereal"
"152",2851,2015-03-16,"rolls/buns"
"153",4417,2015-02-25,"grapes"
"154",3822,2015-03-07,"root vegetables"
"155",2288,2015-05-31,"coffee"
"156",2184,2015-06-30,"popcorn"
"157",4554,2015-08-27,"whole milk"
"158",3361,2015-03-05,"tropical fruit"
"159",2999,2015-04-17,"beef"
"160",2614,2015-06-25,"whole milk"
"161",4064,2015-06-05,"frankfurter"
"162",3567,2015-10-04,"tropical fruit"
"163",2587,2015-05-07,"canned beer"
"164",3783,2015-06-17,"finished products"
"165",1923,2015-02-14,"beverages"
"166",4835,2015-02-19,"hamburger meat"
"167",1514,2015-08-24,"whole milk"
"168",3154,2015-06-22,"finished products"
"169",1313,2015-12-25,"beer"
"170",2794,2015-07-18,"ham"
"171",2359,2015-04-09,"beer"
"172",2238,2015-03-09,"curd"
"173",3795,2015-01-17,"bottled beer"
"174",3724,2015-11-26,"curd"
"175",1152,2015-03-05,"whole milk"
"176",4559,2015-03-16,"whole milk"
"177",3922,2015-02-27,"dessert"
"178",1709,2015-04-22,"cereal"
"179",2219,2015-04-17,"beer"
"180",2206,2015-10-17,"ham"
"181",1752,2015-04-06,"beer"
"182",3942,2015-11-10,"beer"
"183",3296,2015-08-17,"soda"
"184",2257,2015-02-05,"herbs"
"185",4313,2015-07-28,"frankfurter"
"186",2001,2015-08-21,"rolls/buns"
"187",2449,2015-07-08,"curd"
"188",4914,2015-04-12,"frankfurter"
"189",2764,2015-07-24,"beer"
"190",4187,2015-05-09,"dog food"
"191",1392,2015-04-20,"specialty bar"
"192",3427,2015-04-28,"curd"
"193",1411,2015-02-20,"frankfurter"
"194",3390,2015-11-14,"soda"
"195",4787,2015-08-01,"beef"
"196",3310,2015-01-17,"canned beer"
"197",1782,2015-10-10,"pork"
